ROIid;ROIabbr;ROIname;Vgm;Vwm;Vcsf;ROIbase
21;lSupFroG;Left Superior Frontal Gyrus;1;1;0;
22;rSupFroG;Right Superior Frontal Gyrus;1;1;0;
23;lMidFroG;Left Middle Frontal Gyrus;1;1;0;
24;rMidFroG;Right Middle Frontal Gyrus;1;1;0;
25;lInfFroG;Left Inferior Frontal Gyrus;1;1;0;
26;rInfFroG;Right Inferior Frontal Gyrus;1;1;0;
27;lPrcG;Left Precentral Gyrus;1;1;0;
28;rPrcG;Right Precentral Gyrus;1;1;0;
29;lMidOrbG;Left Middle Orbitofrontal Gyrus;1;1;0;
30;rMidOrbG;Right Middle Orbitofrontal Gyrus;1;1;0;
31;lLatOrbG;Left Lateral Orbitofrontal Gyrus;1;1;0;
32;rLatOrbG;Right Lateral Orbitofrontal Gyrus;1;1;0;
33;lRecG;Left Gyrus Rectus;1;1;0;
34;rRecG;Right Gyrus Rectus;1;1;0;
41;lPoCG;Left Postcentral Gyrus;1;1;0;
42;rPoCG;Right Postcentral Gyrus;1;1;0;
43;lSupParG;Left Superior Parietal Gyrus;1;1;0;
44;rSupParG;Right Superior Parietal Gyrus;1;1;0;
45;lSupMarG;Left Supramarginal Gyrus;1;1;0;
46;rSupMarG;Right Supramarginal Gyrus;1;1;0;
47;lAngG;Left Angular Gyrus;1;1;0;
48;rAngG;Right Angular Gyrus;1;1;0;
49;lPCu;Left Precuneus;1;1;0;
50;rPCu;Right Precuneus;1;1;0;
61;lSupOccG;Left Superior Occipital Gyrus;1;1;0;
62;rSupOccG;Right Superior Occipital Gyrus;1;1;0;
63;lMidOccG;Left Middle Occipital Gyrus;1;1;0;
64;rMidOccG;Right Middle Occipital Gyrus;1;1;0;
65;lInfOccG;Left Inferior Occipital Gyrus;1;1;0;
66;rInfOccG;Right Inferior Occipital Gyrus;1;1;0;
67;lCun;Left Cuneus;1;1;0;
68;rCun;Right Cuneus;1;1;0;
81;lSupTemG;Left Superior Temporal Gyrus;1;1;0;
82;rSupTemG;Right Superior Temporal Gyrus;1;1;0;
83;lMidTemG;Left Middle Temporal Gyrus;1;1;0;
84;rMidTemG;Right Middle Temporal Gyrus;1;1;0;
85;lInfTemG;Left Inferior Temporal Gyrus;1;1;0;
86;rInfTemG;Right Inferior Temporal Gyrus;1;1;0;
87;lParHipG;Left Parahippocampal Gyrus;1;1;0;
88;rParHipG;Right Parahippocampal Gyrus;1;1;0;
89;lLinG;Left Lingual Gyrus;1;1;0;
90;rLinG;Right Lingual Gyrus;1;1;0;
91;lFusG;Left Fusiform Gyrus;1;1;0;
92;rFusG;Right Fusiform Gyrus;1;1;0;
101;lIns;Left Insula;1;1;0;
102;rIns;Right Insula;1;1;0;
121;lCinG;Left Cingulate Gyrus;1;1;0;
122;rCinG;Right Cingulate Gyrus;1;1;0;
161;lCau;Left Caudate;1;0;0;
162;rCau;Right Caudate;1;0;0;
163;lPut;Left Putamen;1;0;0;
164;rPut;Right Putamen;1;0;0;
165;lHip;Left Hippocampus;1;0;0;
166;rHip;Right Hippocampus;1;0;0;
181;bCBeL;Bothside Cerebellar Lobe;1;1;0;
182;bBst;Bothside Brainstem;0;1;0;